accession_id,PCL_id,label,Class auto-annotation,cl_parent_1,cl_parent_2,cl_parent_3,cl_parent_4,definition,definition_ref,brain_region,brain_region_curie,brain_region_evidence,markers,marker_fbeta_score
CS202210140_245,PCL:0051245,MGE_244 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of CBLN4 (Hsap), NPY (Hsap), TAC3 (Hsap). The soma of these cells can be found in the cerebral cortex, amygdala. The reference data for this cell type is CS202210140_245.",DOI:10.1101/2022.10.12.511898,,,,"NPY (Hsap), TAC3 (Hsap), CBLN4 (Hsap)",0.5649466192170819
CS202210140_246,PCL:0051246,MGE_245 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of NPY (Hsap), FBN2 (Hsap), RP11-656G20.1 (Hsap). The soma of these cells can be found in the amygdala, cerebral cortex, hippocampal formation. The reference data for this cell type is CS202210140_246.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 15.3%.,"RP11-656G20.1 (Hsap), FBN2 (Hsap), NPY (Hsap)",0.45847750865051906
CS202210140_247,PCL:0051247,MGE_246 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of SST (Hsap), MAF (Hsap), LINC02008 (Hsap). The soma of these cells can be found in the hippocampal formation, cerebral cortex. The reference data for this cell type is CS202210140_247.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 72.3%.,"SST (Hsap), MAF (Hsap), LINC02008 (Hsap)",0.42828685258964144
CS202210140_248,PCL:0051248,MGE_247 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of LPAR1 (Hsap), COL5A2 (Hsap), CTD-2288O8.3 (Hsap). The soma of these cells can be found in the hippocampal formation. The reference data for this cell type is CS202210140_248.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 91.0%.,"COL5A2 (Hsap), CTD-2288O8.3 (Hsap), LPAR1 (Hsap)",0.6132075471698114
CS202210140_249,PCL:0051249,MGE_248 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TAC1 (Hsap), DCN (Hsap), RP11-799O21.2 (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation. The reference data for this cell type is CS202210140_249.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 12.5%.,"DCN (Hsap), RP11-799O21.2 (Hsap), TAC1 (Hsap)",0.45751633986928103
CS202210140_250,PCL:0051250,MGE_249 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of SST (Hsap), SEMA3A (Hsap), TRPC7 (Hsap), RSPO3 (Hsap), SOX6 (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation, amygdala. The reference data for this cell type is CS202210140_250.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 23.3%.,"SOX6 (Hsap), SST (Hsap), SEMA3A (Hsap), RSPO3 (Hsap), TRPC7 (Hsap)",0.42452830188679247
CS202210140_251,PCL:0051251,MGE_250 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of PROM1 (Hsap), ADGRG6 (Hsap), ADAMTS9-AS2 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_251.",DOI:10.1101/2022.10.12.511898,,,,"ADGRG6 (Hsap), ADAMTS9-AS2 (Hsap), PROM1 (Hsap)",0.45936395759717313
CS202210140_252,PCL:0051252,MGE_251 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of ADGRG6 (Hsap), SST (Hsap), RELN (Hsap), RP11-387P12.1 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_252.",DOI:10.1101/2022.10.12.511898,,,,"RP11-387P12.1 (Hsap), SST (Hsap), RELN (Hsap), ADGRG6 (Hsap)",0.5019305019305019
CS202210140_253,PCL:0051253,MGE_252 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of EDNRA (Hsap), TAC3 (Hsap), ABC10-43608400O15.1 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_253.",DOI:10.1101/2022.10.12.511898,,,,"ABC10-43608400O15.1 (Hsap), EDNRA (Hsap), TAC3 (Hsap)",0.38306451612903236
CS202210140_254,PCL:0051254,MGE_253 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of CTC-535M15.2 (Hsap), SST (Hsap), VCAN (Hsap), CTC-340A15.2 (Hsap), TRPC6 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_254.",DOI:10.1101/2022.10.12.511898,,,,"CTC-535M15.2 (Hsap), CTC-340A15.2 (Hsap), VCAN (Hsap), SST (Hsap), TRPC6 (Hsap)",0.6921824104234527
CS202210140_255,PCL:0051255,MGE_254 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of NPAS1 (Hsap), FBN2 (Hsap), ADAMTS20 (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation. The reference data for this cell type is CS202210140_255.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 13.0%.,"NPAS1 (Hsap), ADAMTS20 (Hsap), FBN2 (Hsap)",0.5572289156626506
CS202210140_256,PCL:0051256,MGE_255 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of HGF (Hsap), BCHE (Hsap), RP11-238K6.2 (Hsap). The soma of these cells can be found in the cerebral cortex, amygdala, hippocampal formation. The reference data for this cell type is CS202210140_256.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 12.1%.,"BCHE (Hsap), RP11-238K6.2 (Hsap), HGF (Hsap)",0.5727665706051873
CS202210140_257,PCL:0051257,MGE_256 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")","A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of ADAMTS17 (Hsap), MYBPC1 (Hsap), SHISA8 (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation. The reference data for this cell type is CS202210140_257.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 21.8%.,"MYBPC1 (Hsap), ADAMTS17 (Hsap), SHISA8 (Hsap)",0.6229641693811075
CS202210140_258,PCL:0051258,MGE_257 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of RGS5_ENSG00000143248 (Hsap), MEPE (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation. The reference data for this cell type is CS202210140_258.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 19.7%.,"RGS5_ENSG00000143248 (Hsap), MEPE (Hsap)",0.4901215805471124
CS202210140_259,PCL:0051259,MGE_258 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of WNT16 (Hsap), SST (Hsap), PAWR (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_259.",DOI:10.1101/2022.10.12.511898,,,,"WNT16 (Hsap), PAWR (Hsap), SST (Hsap)",0.38925438596491224
CS202210140_260,PCL:0051260,MGE_259 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of ANOS1 (Hsap), RGS5_ENSG00000143248 (Hsap), BTBD11 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_260.",DOI:10.1101/2022.10.12.511898,,,,"BTBD11 (Hsap), ANOS1 (Hsap), RGS5_ENSG00000143248 (Hsap)",0.4083665338645418
CS202210140_261,PCL:0051261,MGE_260 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of IQGAP2 (Hsap), TAFA4 (Hsap), CTXND1 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_261.",DOI:10.1101/2022.10.12.511898,,,,"CTXND1 (Hsap), IQGAP2 (Hsap), TAFA4 (Hsap)",0.4822834645669291
CS202210140_262,PCL:0051262,MGE_261 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of PVALB (Hsap), CEMIP (Hsap), ADAMTS17 (Hsap), AC133680.1 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_262.",DOI:10.1101/2022.10.12.511898,,,,"AC133680.1 (Hsap), PVALB (Hsap), CEMIP (Hsap), ADAMTS17 (Hsap)",0.30210643015521066
CS202210140_263,PCL:0051263,MGE_262 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of SULF1 (Hsap), PIEZO2 (Hsap), RP1-35C21.2 (Hsap), ADAMTS9-AS2 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_263.",DOI:10.1101/2022.10.12.511898,,,,"SULF1 (Hsap), ADAMTS9-AS2 (Hsap), PIEZO2 (Hsap), RP1-35C21.2 (Hsap)",0.583079268292683
CS202210140_264,PCL:0051264,MGE_263 medial ganglionic eminence derived interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023063"";""medial ganglionic eminence derived interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")",,"A medial ganglionic eminence derived interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of PVALB (Hsap), SULF1 (Hsap), AC133680.1 (Hsap), RP11-875G18.1 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_264.",DOI:10.1101/2022.10.12.511898,,,,"AC133680.1 (Hsap), RP11-875G18.1 (Hsap), PVALB (Hsap), SULF1 (Hsap)",0.5792682926829268
CS202210140_265,PCL:0051265,LLC_264 CNS interneuron (Hsap),,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")",,,"A CNS interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of CRH (Hsap), COL15A1 (Hsap), RP11-238K6.2 (Hsap). The soma of these cells can be found in the cerebral cortex. The reference data for this cell type is CS202210140_265.",DOI:10.1101/2022.10.12.511898,,,,"COL15A1 (Hsap), CRH (Hsap), RP11-238K6.2 (Hsap)",0.5380794701986756
CS202210140_266,PCL:0051266,LLC_265 CNS interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")",,,"A CNS interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of PTHLH (Hsap), RP11-238K6.2 (Hsap). The soma of these cells can be found in the cerebral cortex, amygdala. The reference data for this cell type is CS202210140_266.",DOI:10.1101/2022.10.12.511898,,,,"PTHLH (Hsap), RP11-238K6.2 (Hsap)",0.5808080808080809
CS202210140_267,PCL:0051267,LLC_266 CNS interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")",,,"A CNS interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of UNC5B (Hsap), C1QL1 (Hsap), GRIN2C (Hsap). The soma of these cells can be found in the amygdala, hippocampal formation, cerebral cortex. The reference data for this cell type is CS202210140_267.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 27.1%.,"UNC5B (Hsap), GRIN2C (Hsap), C1QL1 (Hsap)",0.3326023391812865
CS202210140_268,PCL:0051268,LLC_267 CNS interneuron (Hsap),NEUR,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000679"";""glutamatergic neuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0011005"";""GABAergic interneuron"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000402"";""CNS interneuron"")",,"A CNS interneuron of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of MET (Hsap), CHST9 (Hsap), DDR2 (Hsap). The soma of these cells can be found in the hippocampal formation, cerebral cortex. The reference data for this cell type is CS202210140_268.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 80.6%.,"DDR2 (Hsap), CHST9 (Hsap), MET (Hsap)",0.625
